-33.8627052|151.0625911|Homebush West|2140|NSW|535000|unit|1|15|2014|2|2|1|-1|0|0|0|0|0|0|0|0|Homebush West Public School|null|-1|1217|761|3|9903|hospital1458|2730|GPDoctor10851|799|92|2797
-38.379689|145.798962|Loch|3945|Vic|290000|house|21|9|2016|3|1|2|6474|49|1400|461|175|1286|1.1|1023|2.7|null|null|-1|19880|43041|400|43460|hospital2383|25622|GPDoctor11213|6362|128|16608
-38.36622|144.911238|Rosebud|3939|Vic|399000|house|9|7|2013|3|2|2|307|49|1322|390|260|770|1.1|641|2|null|null|-1|19855|31127|362|1806|hospitalDoctor535|2351|GPDoctor20310|1306|513|1173
-33.684134|151.292451|Warriewood|2102|NSW|1200000|house|5|1|2014|4|2|2|536|39|2600|787|645|2038|1|2055|3.3|Narrabeen North Public School|null|-1|1117|16258|3|37292|hospital204|1092|GPDoctor14024|884|225|1340
-37.813723|144.954954|Melbourne|3000|Vic|462000|apartment|22|10|2015|2|1|1|-1|25|2300|498|490|1321|1.3|936|2|null|null|-1|19841|203|269|152|hospitalDoctor1370|665|clinic9299|331|413|259
-38.35741|144.90995|Rosebud|3939|Vic|375000|house|16|4|2011|2|1|1|-1|46|1018|435|260|900|1.1|722|2|null|null|-1|19855|30422|362|1680|hospitalDoctor535|1769|GPDoctor20310|389|513|264
-34.204837|150.789228|Appin|2560|NSW|800000|house|11|20|2015|3|1|4|2023|-1|-1|-1|-1|-1|-1|-1|-1|null|null|-1|1300|7644|26|14482|hospital1536|14191|GPDoctor19527|9109|619|11576
-38.110925|145.32449|Clyde North|3978|Vic|497000|house|13|10|2014|4|2|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|null|null|-1|19886|4044|370|2857|hospitalDoctor1289|2816|GPDoctor1266|2191|664|794
-33.364282|151.463758|Killarney Vale|2261|NSW|213000|residential land|4|30|2012|0|0|0|761|47|2730|431|300|974|1.1|818|2.3|null|null|-1|1144|7462|3|73223|hospital1490|4075|clinic3428|179|1090|267
-37.93915176|145.2440643|Rowville|3178|Vic|-1|house|1|9|2009|4|2|2|-1|39|1975|611|418|2069|1|2059|3.2|null|null|-1|19889|6331|230|1408|hospitalDoctor1184|2986|GPDoctor10900|681|1593|2115
-30.353198|153.10041|Toormina|2452|NSW|535000|house|7|15|2015|4|2|1|733|64|1257|403|240|776|1.1|626|1.8|null|null|-1|55065|749|158|270838|hospital2072|4038|GPDoctor10768|839|1189|760
-38.174583|145.08977|Mount Eliza|3930|Vic|1900000|house|4|10|2011|5|3|4|2386|42|3500|661|875|2666|1|2548|3.2|null|null|-1|19855|4741|601|4596|hospital3043|768|GPDoctor11919|1213|489|1018
-33.789487|151.027086|Oatlands|2117|NSW|825000|house|2|6|2010|4|2|2|609|38|2167|810|510|2510|1.1|1957|2.9|Burnside Public School|null|-1|1225|1416|3|10999|hospitalDoctor4209|612|clinicDoctor1201|329|1138|2313
-29.4662511|150.9273545|Graman|2360|NSW|-1|house|5|27|2013|2|1|4|2023|40|1200|316|50|749|1.2|546|2.2|null|null|-1|55025|135968|150|267630|hospital1672|39004|GP9525|39079|750|38382
