-33.990375|151.100631|Kyle Bay|2221|NSW|2500000|house|10|10|2012|5|6|3|746|44|3358|786|530|2478|1.1|2388|2.9|null|Blakehurst High School|205|1341|2808|3|19047|hospitalDoctor547|1095|clinicDoctor124|1095|1178|2193
-33.763039|151.112684|Marsfield|2122|NSW|500000|townhouse|4|23|2010|2|1|1|-1|37|2344|1033|400|1849|1.2|1824|1.8|null|Cheltenham Girls High School|58|1426|1699|3|18668|hospitalDoctor3874|919|clinic2304|919|857|1683
-34.274498|150.955948|Wombarra|2515|NSW|-1|house|3|7|2016|4|3|2|929|43|1600|875|465|2250|1.2|1725|2.3|null|null|-1|1361|254|26|26550|hospital1559|1113|GPDoctor1804|5409|1187|5548
-28.431012|153.470127|Burringbar|2483|NSW|357000|house|6|17|2016|3|1|2|-1|41|1517|450|250|969|1.1|817|2.6|null|null|-1|55062|63726|158|56182|hospital1788|13975|GP9657|10237|1142|12793
-38.606602|145.746651|Inverloch|3996|Vic|-1|diary|22|3|2016|3|1|0|2200963|46|2080|559|0|1424|1.1|1261|2.6|null|null|-1|19886|69524|377|68519|hospitalDoctor1377|56777|clinic3472|3345|687|13741
-37.862915|145.088781|Ashburton|3147|Vic|1490000|house|22|8|2015|3|1|2|-1|40|1835|811|401|2416|1.1|2111|2.6|null|null|-1|19848|661|397|1631|hospital3670|355|clinic2525|355|392|587
-37.795812|145.127027|Doncaster|3108|Vic|1450000|residential land|9|5|2015|0|0|0|869|38|2500|510|387|1512|1.1|1395|2.7|null|null|-1|20042|2649|627|1007|hospitalDoctor721|1809|clinic9206|598|977|995
-37.694392|145.104294|Greensborough|3088|Vic|-1|house|22|10|2016|4|2|2|735|44|1625|634|293|1513|1.1|1631|2.7|null|null|-1|19985|1119|280|912|hospital2724|1202|clinic8402|912|1515|895
-37.757349|145.053087|Heidelberg Heights|3081|Vic|551000|unit|19|5|2010|3|1|1|-1|38|1733|806|311|1874|1.1|1362|2.1|null|null|-1|19935|668|380|1580|hospital2045|577|clinic3847|503|1524|1578
-32.73439789|151.6147614|Morpeth|2321|NSW|-1|house|4|19|2009|4|2|2|-1|30|2382|706|305|1750|1|1513|2.9|null|null|-1|1175|2676|3|140246|hospital2155|3766|GPDoctor19337|1373|1071|3767
